Date,Adj Close,Close,High,Low,Open,Volume
2019-01-02 00:00:00+00:00,121.3300018,121.3300018,121.75,120.8799973,121.3499985,12776200
2019-01-03 00:00:00+00:00,122.4300003,122.4300003,122.4599991,121.7300034,121.7799988,15440800
2019-01-04 00:00:00+00:00,121.4400024,121.4400024,121.5999985,120.6900024,121.3199997,13334000
2019-01-07 00:00:00+00:00,121.8600006,121.8600006,122.2200012,121.5699997,122.1600037,7473600
2019-01-08 00:00:00+00:00,121.5299988,121.5299988,121.7099991,121.0599976,121.1500015,7643100
2019-01-09 00:00:00+00:00,122.3099976,122.3099976,122.3399963,121.4400024,121.4499969,10555900
2019-01-10 00:00:00+00:00,121.5899963,121.5899963,122.1800003,121.5699997,121.9800034,6672000
2019-01-11 00:00:00+00:00,121.8000031,121.8000031,122.0500031,121.6600037,121.7399979,8622400
2019-01-14 00:00:00+00:00,122.0899963,122.0899963,122.2399979,121.8700027,122.1500015,6477100
2019-01-15 00:00:00+00:00,121.8799973,121.8799973,122.3799973,121.6200027,122.2799988,7512500
2019-01-16 00:00:00+00:00,122.2699966,122.2699966,122.4400024,122.0199966,122.0400009,6878100
2019-01-17 00:00:00+00:00,122.1100006,122.1100006,122.2600021,121.8099976,122.0299988,8558500
2019-01-18 00:00:00+00:00,121.0199966,121.0199966,121.5199966,121.0199966,121.2300034,10896000
2019-01-22 00:00:00+00:00,121.4499969,121.4499969,121.5,120.9000015,121.1800003,7896500
2019-01-23 00:00:00+00:00,121.2799988,121.2799988,121.5400009,120.8600006,120.9599991,5224900
2019-01-24 00:00:00+00:00,121.0899963,121.0899963,121.3600006,120.9199982,121.1600037,5662500
2019-01-25 00:00:00+00:00,122.8600006,122.8600006,122.9100037,122.0199966,122.0199966,11103300
2019-01-28 00:00:00+00:00,123.2900009,123.2900009,123.2900009,122.7200012,122.75,8522200
2019-01-29 00:00:00+00:00,123.9800034,123.9800034,124,123.4599991,123.7099991,11610200
2019-01-30 00:00:00+00:00,124.6900024,124.6900024,125.0699997,123.6999969,123.9100037,12104000
2019-01-31 00:00:00+00:00,124.75,124.75,125.2300034,124.6200027,125.1800003,10209500
2019-02-01 00:00:00+00:00,124.5,124.5,125.0500031,124.3700027,124.8899994,12485500
2019-02-04 00:00:00+00:00,123.9599991,123.9599991,124.2900009,123.8199997,123.9899979,6878900
2019-02-05 00:00:00+00:00,124.2799988,124.2799988,124.4199982,124.0500031,124.2900009,6291100
2019-02-06 00:00:00+00:00,123.4400024,123.4400024,124.1900024,123.4000015,124.1600037,6595100
2019-02-07 00:00:00+00:00,123.7399979,123.7399979,123.9499969,123.4400024,123.8000031,5935500
2019-02-08 00:00:00+00:00,124.2099991,124.2099991,124.3300018,123.9800034,124.0500031,4235200
2019-02-11 00:00:00+00:00,123.5999985,123.5999985,123.8199997,123.1900024,123.1900024,4821800
2019-02-12 00:00:00+00:00,123.8600006,123.8600006,124.0299988,123.6100006,123.9599991,4271900
2019-02-13 00:00:00+00:00,123.3700027,123.3700027,124.5500031,123.3099976,123.8399963,7640500
2019-02-14 00:00:00+00:00,124.0599976,124.0599976,124.1999969,123.5299988,123.8399963,6276500
2019-02-15 00:00:00+00:00,124.8000031,124.8000031,125,124.1800003,124.5899963,12190100
2019-02-19 00:00:00+00:00,126.6999969,126.6999969,126.7900009,125.9300003,125.9800034,15614000
2019-02-20 00:00:00+00:00,126.4800034,126.4800034,127.2099991,126.3099976,127,8889700
2019-02-21 00:00:00+00:00,125.0500031,125.0500031,126.2200012,125.0500031,126.1500015,8634600
2019-02-22 00:00:00+00:00,125.5,125.5,125.9499969,125.3899994,125.5299988,5439400
2019-02-25 00:00:00+00:00,125.3700027,125.3700027,125.9000015,125.2300034,125.7799988,4882600
2019-02-26 00:00:00+00:00,125.5800018,125.5800018,125.6200027,125.0500031,125.3300018,5153200
2019-02-27 00:00:00+00:00,124.6900024,124.6900024,125.2300034,124.4000015,125.1699982,7935600
2019-02-28 00:00:00+00:00,123.9899979,123.9899979,124.7099991,123.9800034,124.7099991,7811700
2019-03-01 00:00:00+00:00,121.8799973,121.8799973,123.9599991,121.8700027,123.4800034,16411700
2019-03-04 00:00:00+00:00,121.5599976,121.5599976,121.8499985,121.1800003,121.5599976,10272600
2019-03-05 00:00:00+00:00,121.7200012,121.7200012,121.7300034,121.0299988,121.3799973,7120100
2019-03-06 00:00:00+00:00,121.6100006,121.6100006,121.6399994,121.2600021,121.4300003,4820400
2019-03-07 00:00:00+00:00,121.5100021,121.5100021,121.7099991,121.1800003,121.2699966,6088800
2019-03-08 00:00:00+00:00,122.8399963,122.8399963,122.8899994,122.3700027,122.6999969,10427700
2019-03-11 00:00:00+00:00,122.2399979,122.2399979,122.5400009,121.9199982,122.5199966,6708700
2019-03-12 00:00:00+00:00,122.9800034,122.9800034,123.0299988,122.4000015,122.5400009,6289900
2019-03-13 00:00:00+00:00,123.8399963,123.8399963,123.8799973,123.4300003,123.5599976,7377300
2019-03-14 00:00:00+00:00,122.4100037,122.4100037,122.5500031,122.1200027,122.3300018,6778200
2019-03-15 00:00:00+00:00,122.9700012,122.9700012,123.4000015,122.9100037,123.0599976,9412000
2019-03-18 00:00:00+00:00,123.0400009,123.0400009,123.4000015,122.8899994,123.3000031,7783200
2019-03-19 00:00:00+00:00,123.3799973,123.3799973,123.7900009,123.3399963,123.7200012,6558700
2019-03-20 00:00:00+00:00,124.1800003,124.1800003,124.4199982,122.6500015,123.6600037,11304900
2019-03-21 00:00:00+00:00,123.6800003,123.6800003,124.3700027,123.1100006,124.3600006,7739800
2019-03-22 00:00:00+00:00,123.9700012,123.9700012,124.2200012,123.7300034,123.9300003,5874000
2019-03-25 00:00:00+00:00,124.9199982,124.9199982,125.1100006,124.4800034,124.5599976,7288300
2019-03-26 00:00:00+00:00,124.3000031,124.3000031,124.5100021,124.0699997,124.4800034,5056100
2019-03-27 00:00:00+00:00,123.6500015,123.6500015,124.3799973,123.5599976,124.3499985,6595000
2019-03-28 00:00:00+00:00,121.9000015,121.9000015,122.3600006,121.7099991,122.2799988,11878300
2019-03-29 00:00:00+00:00,122.0100021,122.0100021,122.75,122.0100021,122.6399994,7093900
2019-04-01 00:00:00+00:00,121.5299988,121.5299988,122.4300003,121.4599991,122.4000015,13560000
2019-04-02 00:00:00+00:00,121.9800034,121.9800034,122.0100021,121.6800003,121.7200012,4475000
2019-04-03 00:00:00+00:00,121.8000031,121.8000031,122.0100021,121.6800003,121.7300034,6152200
2019-04-04 00:00:00+00:00,122.1100006,122.1100006,122.2399979,120.9599991,121.0999985,7508400
