,date,open,high,low,price,volume
0,2019-01-02,1286.0,1286.0,1277.5999755859375,1281.0,149
1,2019-01-03,1286.800048828125,1292.0,1286.699951171875,1291.800048828125,10
2,2019-01-04,1294.199951171875,1294.199951171875,1275.300048828125,1282.699951171875,34
3,2019-01-07,1286.800048828125,1286.800048828125,1286.5999755859375,1286.800048828125,2
4,2019-01-08,1280.5,1283.199951171875,1278.199951171875,1283.199951171875,54
5,2019-01-09,1279.4000244140625,1289.300048828125,1279.199951171875,1289.300048828125,102
6,2019-01-10,1284.699951171875,1284.699951171875,1284.699951171875,1284.699951171875,0
7,2019-01-11,1291.199951171875,1291.199951171875,1286.300048828125,1287.0999755859375,11
8,2019-01-14,1292.4000244140625,1293.9000244140625,1289.0999755859375,1289.0999755859375,7
9,2019-01-15,1290.0999755859375,1292.699951171875,1286.199951171875,1286.199951171875,3
10,2019-01-16,1291.5999755859375,1291.5999755859375,1291.5999755859375,1291.5999755859375,2
11,2019-01-17,1291.5999755859375,1292.699951171875,1288.5,1291.0,10
12,2019-01-18,1281.300048828125,1281.300048828125,1281.300048828125,1281.300048828125,3
13,2019-01-22,1282.5,1283.300048828125,1282.5,1282.5,7
14,2019-01-23,1281.699951171875,1283.9000244140625,1278.699951171875,1283.0999755859375,14
15,2019-01-24,1279.0999755859375,1279.0999755859375,1278.5,1279.0999755859375,1
16,2019-01-25,1297.4000244140625,1297.4000244140625,1297.4000244140625,1297.4000244140625,0
17,2019-01-28,1300.800048828125,1307.0999755859375,1298.4000244140625,1302.4000244140625,54
18,2019-01-29,1308.199951171875,1308.199951171875,1308.199951171875,1308.199951171875,213607
19,2019-01-30,1310.4000244140625,1323.4000244140625,1308.0999755859375,1309.9000244140625,54958
20,2019-01-31,1320.0,1325.4000244140625,1316.699951171875,1319.699951171875,1970
21,2019-02-01,1320.300048828125,1320.699951171875,1315.4000244140625,1316.9000244140625,878
22,2019-02-04,1318.0999755859375,1318.0999755859375,1308.300048828125,1314.300048828125,675
23,2019-02-05,1311.0999755859375,1315.0999755859375,1311.0,1314.199951171875,362
24,2019-02-06,1312.5,1313.5,1305.0,1309.5,358
25,2019-02-07,1302.9000244140625,1310.4000244140625,1302.199951171875,1309.4000244140625,203
26,2019-02-08,1309.5,1314.0,1307.800048828125,1313.699951171875,122
27,2019-02-11,1313.4000244140625,1313.4000244140625,1304.699951171875,1307.0,119
28,2019-02-12,1310.0,1312.0,1307.5999755859375,1309.199951171875,109
29,2019-02-13,1311.5999755859375,1316.0,1308.0999755859375,1310.800048828125,143
