,Date,Adj Close,Close,High,Low,Open,Volume
25,2019-02-07,1309.400024,1309.400024,1310.400024,1302.199951,1302.900024,203
26,2019-02-08,1313.699951,1313.699951,1314.0,1307.800049,1309.5,122
27,2019-02-11,1307.0,1307.0,1313.400024,1304.699951,1313.400024,119
28,2019-02-12,1309.199951,1309.199951,1312.0,1307.599976,1310.0,109
29,2019-02-13,1310.800049,1310.800049,1316.0,1308.099976,1311.599976,143
30,2019-02-14,1309.800049,1309.800049,1311.800049,1301.599976,1305.0,858
31,2019-02-15,1318.099976,1318.099976,1318.800049,1313.599976,1313.599976,190
32,2019-02-19,1340.099976,1340.099976,1340.099976,1320.5,1320.900024,390
33,2019-02-20,1343.300049,1343.300049,1344.0,1338.0,1342.199951,581
34,2019-02-21,1323.5,1323.5,1334.900024,1320.900024,1331.300049,414
35,2019-02-22,1329.199951,1329.199951,1331.300049,1321.0,1324.199951,718
36,2019-02-25,1325.900024,1325.900024,1331.599976,1325.599976,1329.199951,185
37,2019-02-26,1325.099976,1325.099976,1325.5,1323.300049,1323.300049,939
38,2019-02-27,1317.699951,1317.699951,1327.900024,1316.5,1327.699951,604
39,2019-02-28,1312.800049,1312.800049,1323.699951,1311.5,1321.099976,141
40,2019-03-01,1296.400024,1296.400024,1312.199951,1288.900024,1312.199951,110
41,2019-03-04,1284.800049,1284.800049,1287.0,1281.900024,1285.5,28
42,2019-03-05,1282.0,1282.0,1287.0,1282.0,1287.0,114
43,2019-03-06,1284.900024,1284.900024,1287.099976,1282.599976,1287.099976,14
44,2019-03-07,1283.800049,1283.800049,1284.599976,1281.0,1281.0,11
45,2019-03-08,1297.0,1297.0,1297.400024,1291.599976,1292.099976,10
46,2019-03-11,1288.800049,1288.800049,1291.0,1288.800049,1291.0,9
47,2019-03-12,1296.300049,1296.300049,1296.300049,1294.699951,1294.699951,1
48,2019-03-13,1307.5,1307.5,1307.5,1307.5,1307.5,0
49,2019-03-14,1293.400024,1293.400024,1293.400024,1293.400024,1293.400024,1
50,2019-03-15,1301.800049,1301.800049,1304.699951,1300.5,1300.900024,26
51,2019-03-18,1300.300049,1300.300049,1302.199951,1297.300049,1297.300049,8
52,2019-03-19,1305.0,1305.0,1306.900024,1304.800049,1306.900024,20
53,2019-03-20,1300.5,1300.5,1300.699951,1300.5,1300.699951,2
54,2019-03-21,1306.099976,1306.099976,1306.099976,1306.099976,1306.099976,0
55,2019-03-22,1311.599976,1311.599976,1311.599976,1311.599976,1311.599976,0
56,2019-03-25,1321.900024,1321.900024,1322.900024,1320.699951,1320.699951,19
57,2019-03-26,1314.300049,1314.300049,1315.599976,1314.300049,1315.599976,1
58,2019-03-27,1309.900024,1309.900024,1309.900024,1309.900024,1309.900024,206263
59,2019-03-28,1289.800049,1289.800049,1311.099976,1287.699951,1308.400024,87798
60,2019-03-29,1293.0,1293.0,1298.5,1286.099976,1289.599976,1265
61,2019-04-01,1288.400024,1288.400024,1295.900024,1285.699951,1291.800049,675
62,2019-04-02,1290.0,1290.0,1290.900024,1284.5,1286.300049,525
63,2019-04-03,1289.900024,1289.900024,1293.099976,1287.5,1291.400024,172
64,2019-04-04,1289.0,1289.0,1292.599976,1279.5,1290.599976,269
65,2019-04-05,1290.400024,1290.400024,1292.0,1283.599976,1292.0,181
66,2019-04-08,1297.099976,1297.099976,1302.099976,1291.800049,1292.199951,63
67,2019-04-09,1303.5,1303.5,1304.900024,1298.5,1298.5,30
68,2019-04-10,1309.099976,1309.099976,1309.099976,1301.5,1304.0,66
69,2019-04-11,1288.599976,1288.599976,1307.099976,1288.599976,1307.0,420
70,2019-04-12,1290.599976,1290.599976,1293.400024,1289.199951,1293.400024,607
71,2019-04-15,1286.800049,1286.800049,1287.300049,1282.300049,1284.800049,523
72,2019-04-16,1272.599976,1272.599976,1285.199951,1272.199951,1285.199951,643
73,2019-04-17,1272.199951,1272.199951,1273.5,1271.599976,1273.5,308
74,2019-04-18,1271.900024,1271.900024,1273.599976,1270.099976,1270.800049,27
75,2019-04-22,1273.5,1273.5,1273.5,1273.5,1273.5,147
76,2019-04-23,1269.300049,1269.300049,1269.800049,1266.0,1266.400024,206
77,2019-04-24,1275.5,1275.5,1275.5,1267.800049,1268.400024,518
78,2019-04-25,1275.800049,1275.800049,1280.800049,1275.800049,1280.599976,95
79,2019-04-26,1284.900024,1284.900024,1284.900024,1284.900024,1284.900024,804
80,2019-04-29,1278.599976,1278.599976,1284.900024,1277.099976,1284.800049,568
81,2019-04-30,1282.800049,1282.800049,1283.300049,1280.800049,1281.699951,114
82,2019-05-01,1281.400024,1281.400024,1283.300049,1278.699951,1278.699951,70
83,2019-05-02,1269.699951,1269.699951,1270.800049,1266.599976,1269.199951,63
84,2019-05-03,1279.199951,1279.199951,1279.199951,1270.099976,1270.099976,15
85,2019-05-06,1281.699951,1281.699951,1282.199951,1280.300049,1282.199951,12
86,2019-05-07,1283.5,1283.5,1283.5,1280.5,1280.5,8
87,2019-05-08,1279.400024,1279.400024,1279.400024,1279.400024,1279.400024,5
88,2019-05-09,1283.5,1283.5,1285.0,1278.800049,1278.900024,38
89,2019-05-10,1285.699951,1285.699951,1286.5,1283.300049,1285.400024,6
90,2019-05-13,1300.099976,1300.099976,1300.099976,1281.800049,1286.699951,56
91,2019-05-14,1294.699951,1294.699951,1297.800049,1294.699951,1297.800049,6
92,2019-05-15,1296.300049,1296.300049,1296.900024,1296.0,1296.900024,55
93,2019-05-16,1285.0,1285.0,1285.400024,1285.0,1285.199951,3
94,2019-05-17,1274.5,1274.5,1280.0,1274.5,1280.0,1
95,2019-05-20,1276.099976,1276.099976,1276.099976,1276.099976,1276.099976,20
96,2019-05-21,1272.0,1272.0,1272.0,1272.0,1272.0,0
97,2019-05-22,1273.599976,1273.599976,1273.599976,1273.599976,1273.599976,0
98,2019-05-23,1284.800049,1284.800049,1284.800049,1284.800049,1284.800049,0
99,2019-05-24,1283.0,1283.0,1283.0,1283.0,1283.0,9
100,2019-05-28,1276.5,1276.5,1276.5,1276.5,1276.5,0
101,2019-05-29,1280.599976,1280.599976,1280.599976,1280.599976,1280.599976,189694
102,2019-05-30,1287.099976,1287.099976,1288.300049,1273.900024,1279.400024,55573
103,2019-05-31,1305.800049,1305.800049,1306.400024,1287.5,1287.699951,2814
104,2019-06-03,1322.699951,1322.699951,1327.800049,1307.0,1307.0,812
105,2019-06-04,1323.400024,1323.400024,1328.599976,1320.800049,1324.300049,302
106,2019-06-05,1328.300049,1328.300049,1343.300049,1326.300049,1328.900024,622
107,2019-06-06,1337.599976,1337.599976,1338.699951,1326.199951,1330.800049,161
108,2019-06-07,1341.199951,1341.199951,1347.699951,1329.800049,1333.099976,240
109,2019-06-10,1324.699951,1324.699951,1336.5,1324.099976,1335.800049,268
110,2019-06-11,1326.400024,1326.400024,1328.400024,1319.099976,1328.400024,201
111,2019-06-12,1331.900024,1331.900024,1334.5,1326.900024,1326.900024,139
112,2019-06-13,1339.199951,1339.199951,1341.099976,1331.599976,1331.599976,157
113,2019-06-14,1340.099976,1340.099976,1355.400024,1339.300049,1345.400024,914
114,2019-06-17,1338.699951,1338.699951,1340.300049,1335.0,1339.0,76
115,2019-06-18,1346.599976,1346.599976,1349.300049,1341.599976,1349.300049,29
116,2019-06-19,1344.599976,1344.599976,1344.599976,1344.0,1344.0,129
117,2019-06-20,1392.900024,1392.900024,1392.900024,1379.5,1381.5,76
118,2019-06-21,1396.199951,1396.199951,1406.0,1390.300049,1406.0,35
119,2019-06-24,1414.300049,1414.300049,1420.599976,1402.099976,1406.0,125
120,2019-06-25,1414.900024,1414.900024,1433.300049,1414.900024,1418.099976,105
121,2019-06-26,1411.599976,1411.599976,1413.300049,1405.800049,1407.199951,1333
122,2019-06-27,1408.400024,1408.400024,1410.800049,1399.800049,1407.0,437
123,2019-06-28,1409.699951,1409.699951,1422.0,1408.300049,1408.300049,356
124,2019-07-01,1385.599976,1385.599976,1395.800049,1382.800049,1386.599976,214
125,2019-07-02,1404.599976,1404.599976,1418.400024,1390.800049,1391.099976,38
126,2019-07-03,1417.699951,1417.699951,1434.0,1413.099976,1431.0,46
127,2019-07-05,1396.699951,1396.699951,1418.300049,1390.199951,1418.300049,20
128,2019-07-08,1397.0,1397.0,1397.0,1393.599976,1395.900024,14
